,policy_nr_hashed,cluster
2156,E7wqnPP,0
2159,G2wQZaB,1
2164,LAwAqQZ,1
2167,NWEWXj7,1
2172,Olw5WZz,2
2173,Olw65aw,0
2186,Vqx556g,0
2187,WP0d9aP,1
2190,XrPrkO8,0
2191,XrPzo0x,0
2196,ZLWLvyz,1
2197,a6R50Z7,0
2198,a6RBGxx,1
2199,a6RGAox,0
2202,beae77Y,1
2204,dByBRr9,1
2205,dByYB0O,0
2209,gjkj0oE,1
2216,kbdRqEm,0
2217,kbdaL6b,1
2228,oJmWxRy,0
2230,pjmkQpK,1
2234,rLm8oYE,0
2236,vL9vExo,0
2245,ypgaYdm,0
2252,3RdbqgG,0
2254,5rZgyXQ,3
2263,G2w2pZw,1
2264,JBwqXyJ,1
2274,R5WeZGp,3
2276,YvWvEOG,0
2287,kbd6Ya7,3
2288,kbdaeAb,0
2289,kbdao6b,3
2293,mWmAm3Z,3
2295,oJmxQGJ,3
2299,wRmAp3A,3
2300,wRmjo8r,3
2301,xamQ7WK,3
2302,ypg877y,0
2305,zPm3Yyd,3
2307,0WK7o0n,1
2308,0WKWZJO,2
2309,2LJLjzJ,1
2310,2LJkwVw,0
2314,5rZ786k,2
2315,5rZLKry,1
2316,6rYodx3,0
2320,92ZogeA,0
2322,AoZRlV6,2
2323,AoZoWKY,0
2325,ByZJGxK,1
2326,ByZQlxl,0
2328,G2wA3g0,1
2329,K7wlwgO,0
2330,K7wx50x,0
2332,LAwWxmQ,1
2335,Olw3P9w,1
2336,Olw6xlA,0
2338,P8wAnyj,0
2339,Q6Y0mbg,1
2340,R5WA6NZ,1
2343,VqxWz0x,2
2344,Vqxd0Rg,1
2345,WP0G7KX,0
2346,WP0Yp3w,2
2351,ZLWG2p9,1
2353,a6RBYbL,0
2354,a6RBxav,1
2355,bea626Z,0
2358,eBOep59,1
2359,joJLKgJ,0
2362,kbdVNBW,1
2363,kbdVaaP,0
2364,kbdavvV,1
2366,mWmbw7a,1
2369,pjmOkJ5,1
2370,pjmWyzW,0
2373,rLmLAbm,1
2375,vL9zB8G,1
2378,0WKOoy5,3
2380,2LJLV5x,3
2385,8rZ3VN6,3
2386,8rZJAKy,3
2390,92Z2l8B,3
2392,ByZVrdW,0
2397,K7wxrjZ,3
2402,Olwl8wn,3
2406,Q6YOOw3,3
2407,Q6YOaEq,3
2409,XrPEGJ6,3
2412,beaB8gn,3
2428,mWmWLyz,3
2430,qvmzONG,3
2436,wRmLPz8,3
2444,2LJ0myx,1
2445,2LJYOrJ,1
2446,2LJpEKx,1
2448,5rZrKra,1
2449,6rYryg3,1
2455,ByZmVB7,1
2456,G2wQrbw,0
2457,JBw5nv7,1
2458,JBwB3PJ,1
2462,K7w7bpg,1
2463,K7wLOgx,1
2466,NWE838a,1
2467,NWE8B6Q,1
2469,Olwy67r,0
2470,Q6Y0vzo,1
2471,R5W98R0,0
2472,R5Wk0dl,0
2477,YvWgy5Q,1
2479,a6RGmXX,1
2485,kbdqrRm,1
2486,lrzmgR0,1
2487,lrzroBv,1
2488,mWmEkYv,1
2489,mWmygja,1
2490,nAE75bx,1
2495,qvmj9Ry,1
2496,qvmzrAP,1
2497,rLmk27x,1
2499,vL9vmlz,0
2507,ypgpmWJ,1
2516,0WKozOX,0
2525,5rZgmbQ,0
2526,6rYrBd8,0
2528,70NaL5k,1
2529,70NaaNo,0
2533,ByZlaq0,1
2535,E7w5qOb,0
2536,E7wqJk5,0
2540,G2wQo70,0
2542,K7w7xGZ,1
2545,Olw3b6z,1
2546,Olw5mxy,0
2551,R5W5al8,1
2552,R5W9Wn2,0
2555,XrP0rb6,1
2556,XrP6kwL,1
2564,beaK86Z,0
2567,eBOXZzx,0
2572,joJRxzN,1
2576,kbdbB67,0
2588,vL9LowL,1
2589,vL9dZg6,1
2590,vL9j0gG,0
2598,xamknaE,0
2605,3RdzReN,0
2607,5rZL2rq,0
2608,6rY0okQ,0
2609,6rYRZqO,1
2610,6rYrgkr,0
2613,92ZEwGA,0
2616,E7wmPgO,3
2617,E7wmwwO,0
2618,E7wqp9P,0
2619,G2wVgvk,0
2621,JBwx6L9,0
2622,JBwzVEe,0
2625,K7wqWVd,0
2626,K7wqWxp,0
2628,LAwRLeY,0
2629,NWEWWdk,0
2631,OlwGLQE,0
2632,OlwxoVw,1
2634,Q6Y5Wzk,0
2635,Q6YA6yo,0
2636,R5W5opq,1
2639,VqxWor6,0
2640,XrPG03a,0
2642,YvWvA3p,0
2646,a6R6x69,0
2650,dByGEJO,0
2653,gjkdrjE,0
2654,joJq8pA,0
2659,pjmA33a,1
2661,vL9LAyV,0
2665,wRmLpB8,0
2666,wRmRX9V,0
2667,wRmRbjL,1
2671,2LJAyne,1
2677,G2wmVok,1
2678,JBw5boN,1
2679,JBwqOKd,1
2686,R5W7r8n,0
2687,R5W9vjW,1
2693,ZLW2dqd,1
2698,eBOBePy,1
2700,gjkORoR,0
2701,gjkjNj3,1
2702,joJGWgN,0
2708,qvmeWzL,0
2713,xamkjVJ,1
2716,2LJklRl,2
2718,8rZ3N2j,2
2719,8rZeWZE,2
2720,8rZrWdx,2
2722,ByZJd8w,2
2723,E7wkQ8G,2
2724,E7wq3NX,2
2726,G2wQEGb,2
2729,K7wlYAg,2
2733,Q6Y7Gbk,2
2735,R5W7E8p,2
2737,YvWGvjp,2
2739,bea3dnj,2
2740,eBOVq09,2
